Date,State/UnionTerritory,Confirmed
27/05/20,Nagaland,4
27/05/20,Odisha,1517
27/05/20,Puducherry,46
27/05/20,Punjab,2106
27/05/20,Rajasthan,7536
27/05/20,Sikkim,1
27/05/20,Tamil Nadu,17728
27/05/20,Telengana,1991
27/05/20,Tripura,207
27/05/20,Uttarakhand,401
27/05/20,Uttar Pradesh,6548
27/05/20,West Bengal,4009
27/05/20,Cases being reassigned to states,4013
28/05/20,Andaman and Nicobar Islands,33
28/05/20,Andhra Pradesh,3171
28/05/20,Arunachal Pradesh,2
28/05/20,Assam,781
28/05/20,Bihar,3061
28/05/20,Chandigarh,279
28/05/20,Chhattisgarh,369
28/05/20,Dadar Nagar Haveli,2
28/05/20,Delhi,15257
28/05/20,Goa,68
28/05/20,Gujarat,15195
28/05/20,Haryana,1381
28/05/20,Himachal Pradesh,273
28/05/20,Jammu and Kashmir,1921
28/05/20,Jharkhand,448
28/05/20,Karnataka,2418
28/05/20,Kerala,1004
28/05/20,Ladakh,53
28/05/20,Madhya Pradesh,7261
28/05/20,Maharashtra,56948
28/05/20,Manipur,44
28/05/20,Meghalaya,20
28/05/20,Mizoram,1
28/05/20,Nagaland,4
28/05/20,Odisha,1593
28/05/20,Puducherry,46
28/05/20,Punjab,2139
28/05/20,Rajasthan,7703
28/05/20,Sikkim,1
28/05/20,Tamil Nadu,18545
28/05/20,Telengana,2098
28/05/20,Tripura,230
28/05/20,Uttarakhand,469
28/05/20,Uttar Pradesh,6991
28/05/20,West Bengal,4192
28/05/20,Cases being reassigned to states,4332
29/05/20,Andaman and Nicobar Islands,33
29/05/20,Andhra Pradesh,3251
29/05/20,Arunachal Pradesh,3
29/05/20,Assam,856
29/05/20,Bihar,3296
29/05/20,Chandigarh,288
29/05/20,Chhattisgarh,399
29/05/20,Dadar Nagar Haveli,2
29/05/20,Delhi,16281
29/05/20,Goa,69
29/05/20,Gujarat,15562
29/05/20,Haryana,1504
29/05/20,Himachal Pradesh,276
29/05/20,Jammu and Kashmir,2036
29/05/20,Jharkhand,469
29/05/20,Karnataka,2533
29/05/20,Kerala,1088
29/05/20,Ladakh,73
29/05/20,Madhya Pradesh,7453
29/05/20,Maharashtra,59546
29/05/20,Manipur,55
29/05/20,Meghalaya,21
29/05/20,Mizoram,1
29/05/20,Nagaland,18
29/05/20,Odisha,1660
29/05/20,Puducherry,51
29/05/20,Punjab,2158
29/05/20,Rajasthan,8067
29/05/20,Sikkim,1
29/05/20,Tamil Nadu,19372
29/05/20,Telengana,2256
29/05/20,Tripura,242
29/05/20,Uttarakhand,500
29/05/20,Uttar Pradesh,7170
29/05/20,West Bengal,4536
29/05/20,Cases being reassigned to states,4673
30/05/20,Andaman and Nicobar Islands,33
30/05/20,Andhra Pradesh,3436
30/05/20,Arunachal Pradesh,3
30/05/20,Assam,1024
30/05/20,Bihar,3376
30/05/20,Chandigarh,289
30/05/20,Chhattisgarh,415
30/05/20,Dadar Nagar Haveli,2
30/05/20,Delhi,17386
30/05/20,Goa,69
30/05/20,Gujarat,15934
30/05/20,Haryana,1721
30/05/20,Himachal Pradesh,295
30/05/20,Jammu and Kashmir,2164
30/05/20,Jharkhand,511
30/05/20,Karnataka,2781
30/05/20,Kerala,1150
30/05/20,Ladakh,74
30/05/20,Madhya Pradesh,7645
30/05/20,Maharashtra,62228
30/05/20,Manipur,59
30/05/20,Meghalaya,27
30/05/20,Mizoram,1
30/05/20,Nagaland,25
30/05/20,Odisha,1723
30/05/20,Puducherry,51
30/05/20,Punjab,2197
30/05/20,Rajasthan,8365
30/05/20,Sikkim,1
30/05/20,Tamil Nadu,20246
30/05/20,Telengana,2425
30/05/20,Tripura,251
30/05/20,Uttarakhand,716
30/05/20,Uttar Pradesh,7284
