Date,State/UnionTerritory,Cured
9/4/2020,Goa,0
9/4/2020,Gujarat,25
9/4/2020,Haryana,29
9/4/2020,Himachal Pradesh,2
9/4/2020,Jammu and Kashmir,4
9/4/2020,Jharkhand,0
9/4/2020,Karnataka,28
9/4/2020,Kerala,83
9/4/2020,Ladakh,10
9/4/2020,Madhya Pradesh,0
9/4/2020,Maharashtra,117
9/4/2020,Manipur,1
9/4/2020,Mizoram,0
9/4/2020,Odisha,2
9/4/2020,Puducherry,1
9/4/2020,Punjab,4
9/4/2020,Rajasthan,21
9/4/2020,Tamil Nadu,21
9/4/2020,Telengana,35
9/4/2020,Tripura,0
9/4/2020,Uttarakhand,5
9/4/2020,Uttar Pradesh,31
9/4/2020,West Bengal,16
10/4/2020,Andhra Pradesh,7
10/4/2020,Andaman and Nicobar Islands,0
10/4/2020,Arunachal Pradesh,0
10/4/2020,Assam,0
10/4/2020,Bihar,0
10/4/2020,Chandigarh,7
10/4/2020,Chhattisgarh,9
10/4/2020,Delhi,25
10/4/2020,Goa,1
10/4/2020,Gujarat,26
10/4/2020,Haryana,29
10/4/2020,Himachal Pradesh,6
10/4/2020,Jammu and Kashmir,6
10/4/2020,Jharkhand,0
10/4/2020,Karnataka,30
10/4/2020,Kerala,96
10/4/2020,Ladakh,10
10/4/2020,Madhya Pradesh,0
10/4/2020,Maharashtra,125
10/4/2020,Manipur,1
10/4/2020,Mizoram,0
10/4/2020,Odisha,2
10/4/2020,Puducherry,1
10/4/2020,Punjab,5
10/4/2020,Rajasthan,21
10/4/2020,Tamil Nadu,21
10/4/2020,Telengana,35
10/4/2020,Tripura,0
10/4/2020,Uttarakhand,5
10/4/2020,Uttar Pradesh,32
10/4/2020,West Bengal,16
11/4/2020,Andhra Pradesh,11
11/4/2020,Andaman and Nicobar Islands,0
11/4/2020,Arunachal Pradesh,0
11/4/2020,Assam,0
11/4/2020,Bihar,0
11/4/2020,Chandigarh,7
11/4/2020,Chhattisgarh,9
11/4/2020,Delhi,25
11/4/2020,Goa,1
11/4/2020,Gujarat,31
11/4/2020,Haryana,29
11/4/2020,Himachal Pradesh,6
11/4/2020,Jammu and Kashmir,6
11/4/2020,Jharkhand,0
11/4/2020,Karnataka,37
11/4/2020,Kerala,123
11/4/2020,Ladakh,10
11/4/2020,Madhya Pradesh,0
11/4/2020,Maharashtra,188
11/4/2020,Manipur,1
11/4/2020,Mizoram,0
11/4/2020,Odisha,2
11/4/2020,Puducherry,1
11/4/2020,Punjab,5
11/4/2020,Rajasthan,21
11/4/2020,Tamil Nadu,44
11/4/2020,Telengana,43
11/4/2020,Tripura,0
11/4/2020,Uttarakhand,5
11/4/2020,Uttar Pradesh,32
11/4/2020,West Bengal,16
12/4/2020,Andhra Pradesh,11
12/4/2020,Andaman and Nicobar Islands,10
12/4/2020,Arunachal Pradesh,0
12/4/2020,Assam,0
12/4/2020,Bihar,19
12/4/2020,Chandigarh,7
12/4/2020,Chhattisgarh,10
12/4/2020,Delhi,25
12/4/2020,Goa,5
12/4/2020,Gujarat,44
12/4/2020,Haryana,29
12/4/2020,Himachal Pradesh,6
12/4/2020,Jammu and Kashmir,6
12/4/2020,Jharkhand,0
12/4/2020,Karnataka,37
12/4/2020,Kerala,142
12/4/2020,Ladakh,10
12/4/2020,Madhya Pradesh,0
12/4/2020,Maharashtra,208
12/4/2020,Manipur,1
12/4/2020,Mizoram,0
12/4/2020,Odisha,12
12/4/2020,Puducherry,1
12/4/2020,Punjab,5
12/4/2020,Rajasthan,21
12/4/2020,Tamil Nadu,44
12/4/2020,Telengana,43
12/4/2020,Tripura,0
12/4/2020,Uttarakhand,5
12/4/2020,Uttar Pradesh,45
12/4/2020,West Bengal,19
13/04/20,Andhra Pradesh,11
13/04/20,Andaman and Nicobar Islands,10
13/04/20,Arunachal Pradesh,0
13/04/20,Assam,0
13/04/20,Bihar,26
